fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 005638	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3598	1	1	1	0.1	50	0.5	FALSE	100019	0.00727757933637271	0.341740532424184	6338	1524	0.0200239505404052	13337	20126000	55
20221029 010328	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2131	1	1	1	0.1	50	0.5	FALSE	100019	0.0070049952205356	0.391076096685269	7438	1448	0.0219030660096968	14415	19570000	56
20221029 011818	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4637	1	1	1	0.1	50	0.5	FALSE	100019	0.00714999879066767	0.536347901839033	5633	1552	0.0121580315789666	14739	18282000	57
20221029 012911	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3485	1	1	1	0.1	50	0.5	FALSE	100019	0.00774404749130853	0.493807496314379	6243	891	0.0196446385657923	13011	20458000	58
20221029 014031	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4190	1	1	1	0.1	50	0.5	FALSE	100019	0.00546609173131237	0.358496421360775	7990	296	0.0190484263016971	14984	19312000	59
20221029 014622	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1730	1	1	1	0.1	50	0.5	FALSE	100019	0.0157733318082218	0.495397839360349	5917	1622	0.015931708617655	14574	19092000	60
20221029 014852	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	745	1	1	1	0.1	50	0.5	FALSE	100019	0.0357653376617213	0.778004652667418	6248	2031	0.0189222987645196	13156	19848000	61
20221029 015159	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	329	1	1	1	0.1	50	0.5	FALSE	100019	0.0893264602155657	0.969097073429264	988	1081	0.000422748192632642	13034	18812000	62
20221029 015336	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	245	1	1	1	0.1	50	0.5	FALSE	100019	0.27939678521727	0.587954067696445	3163	1369	0.00046915829348733	15049	14302000	63
20221029 015526	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	386	1	1	1	0.1	50	0.5	FALSE	100019	0.172657081268704	0.230607351907156	1427	1383	5.69350556309654e-05	14172	17336000	64
20221029 015624	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	233	1	1	1	0.1	50	0.5	FALSE	100019	0.262490928610116	0.218916609417275	4102	1421	0.00361552086004698	13551	16258000	65
20221029 015801	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	326	1	1	1	0.1	50	0.5	FALSE	100019	0.0543674122776499	0.206620149758458	1806	1661	0.00816829321092432	16477	17046000	66
20221029 020104	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	616	1	1	1	0.1	50	0.5	FALSE	100019	0.167699947859827	0.776605645638891	1634	1495	1.46171169435836e-06	13924	17032000	67
20221029 020244	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	373	1	1	1	0.1	50	0.5	FALSE	100019	0.0785160669077083	0.581044979447126	7685	745	0.0174977044611171	14274	18252000	68
